name,ingredients,health-info,diet,image
Pizza (low carb and fast),"[""1 low carb pita (Joseph\\\\'s Flax, Oat Bran and Whole Wheat)"", '3/4 C cups red sauce (see my meatball and sauce recipe elsewhere at this site)', '1 tablespoon EVOO', '1 teaspoon red pepper flakes', '1/2 teaspoon cayenne', '1 teaspoon Italian Seasoning', '1/2 teaspoon basil', '2 ounces shredded mozzarella', '1 half a sausage, sliced; or 1 meatball, chopped (see my meatball and sauce recipe elsewhere at this site)']","['Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",[],https://www.edamam.com/web-img/b78/b783641cf581262493313c14238ef89f.jpg
Low Carb Cranberry Cooler,"['1/4 cup pure, unsweetened cranberry juice', '3/4 cup club soda or sparkling mineral water', '10-15 drops (about 1/8 teaspoon) of liquid stevia extract (amount may depend on your specific brand of stevia)']","['Vegan', 'Vegetarian', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",['Low-Fat'],https://www.edamam.com/web-img/08c/08c8ecf5644283df1b0f4322d6791216.jpg
"Gluten Free, High Protein, Low Carb Bread recipes","[""2 1/2 cups blanched almond flour (NOT Bob's Red Mill!)"", '1/2 teaspoon celtic sea salt', '1/2 teaspoon baking soda', '3 eggs', '1 tablespoon agave nectar', '1/2 teaspoon apple cider vinegar']","['Vegetarian', 'Peanut-Free', 'Alcohol-Free']",['Low-Carb'],https://www.edamam.com/web-img/88b/88bf4f00b80da0c75af3e9ab6e19abaa
Low-Carb Burgers,"['2 pounds Ground Chuck', '1 teaspoon Kosher Salt', '1/2 teaspoon Black Pepper', '5 dashes Worcestershire Sauce', '2 Tablespoons Butter', '1/4 cup Mayonnaise', '1 Tablespoon Dijon Mustard', '2 dashes Worcestershire Sauce', '2 whole Avocados, Sliced', '1 whole Tomatoes, Sliced', '1/4 whole Thinly Sliced Red Onion', '1 head Iceberg, Green Leaf, Or Butter Lettuce', 'Optional Toppings: Chopped Pickles, Feta Cheese, Cilantro, Pico De Gallo']","['Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free', 'Immuno-Supportive']",[],https://www.edamam.com/web-img/236/23661ef132917e52a184ae3910f4469f.jpg
Low-Carb Eggplant Pizzas,"['1 pound eggplant, unpeeled, cut crosswise into 1/2-inch-thick slices', '⅛ teaspoon kosher salt', '2 tablespoons extra-virgin olive oil', '¼ teaspoon ground pepper', '2 ½ ounces mild or hot Italian turkey sausage, casing removed', '1 cup sliced fresh cremini mushrooms', '⅓ cup reduced-sodium marinara sauce', '1 cup shredded part-skim mozzarella cheese', '2 tablespoons chopped fresh basil or small basil leaves']","['Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",['Low-Carb'],https://www.edamam.com/web-img/87f/87fb7e5da1219797dcb4e33a23f9b52d
Low Carb Maple Pecan Pancakes,"['Non-stick cooking spray or butter', '2 eggs', '1/3 cup heavy cream', '1/4 cup water', '1 teaspoon no sugar added maple extract', '1/2 cup soy flour', '2 tablespoons sugar substitute (recommended: Splenda)', '1 tablespoon wheat (or oat) bran', '1/4 teaspoon baking powder', '1/8 cup chopped pecans (walnuts may be substituted)', 'Low Carb Fresh Whipped Cream, recipe follows', '1 cup heavy cream', '1/3 cup sugar substitute (recommended: Splenda)', '1 teaspoon no sugar added vanilla extract']","['Vegetarian', 'Peanut-Free', 'Alcohol-Free']",[],https://www.edamam.com/web-img/788/78848d63cd2373e7faeb7c0945c109f7.jpeg
Low-Carb Crêpes,"['1 tablespoon butter', '4 whole eggs', '4 egg whites', '4 ounces cream cheese, room temperature', '4 teaspoons psyllium husk powder', '4 teaspoons unsweetened soy milk', '1 teaspoon vanilla extract', '5 drops toffee flavored liquid stevia']","['Sugar-Conscious', 'Vegetarian', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",['Low-Carb'],https://www.edamam.com/web-img/a36/a36967c46d01530d472e031a4df4ecb3.jpg
Low-Carb Baked Kohlrabi Fries,"['3 whole kohlrabi bulbs', '1-2 teaspoons extra-virgin olive oil', 'Salt and pepper OR an herb blend (I used Melissa’s Produce Garlic and Herb']","['Sugar-Conscious', 'Vegan', 'Vegetarian', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free', 'Immuno-Supportive']",['Balanced'],https://www.edamam.com/web-img/060/06014cc509c1f259bb26c4e9c32d8847.jpg
Low-carb falafel with roasted veg,"['500g/1lb 2oz frozen soy beans, defrosted', '1 small red onion, finely chopped', '2 garlic cloves, crushed', '½ small bunch coriander, leaves and stalks finely chopped', '1-2 tsp ras-el-hanout, to taste', '1 free-range egg, beaten', '2 tbsp toasted sesame seeds', '2 tbsp dry breadcrumbs', 'Sea salt and freshly ground black pepper, to taste', 'Olive oil cooking spray', '1 red pepper, seeds removed, quartered', '1 yellow pepper, seeds removed, quartered', '2 courgettes, cut into long batons', '1 aubergine, halved lengthways then sliced into half moons', '1 tsp sweet smoked paprika', '1-2 tsp sherry vinegar, to taste', '½ small bunch coriander, torn', '⅓ cucumber, roughly peeled, seeds removed, finely chopped', '1 small garlic clove, crushed', '100g/3½oz fat-free greek yoghurt', '1 lemon, juice of ½, remainder cut into wedges for serving', 'Small handful mint, leaves shredded']","['Vegetarian', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",[],https://www.edamam.com/web-img/8d8/8d81e6165c889c7e0338548d45cfc9e6.jpg
Low-Carb Flatbread,"['1 c. full-fat coconut milk', '1/2 c. + 1 heaping tablespoon super fine almond flour', '1/2 c. arrowroot powder', 'Pinch of sea salt', 'Vegan butter spread, for garnish']","['Sugar-Conscious', 'Vegan', 'Vegetarian', 'Peanut-Free', 'Alcohol-Free']",[],https://www.edamam.com/web-img/014/014808860bac428a724c805ed97af7db.jpg
