name,url,image
Low-Fat White Sauce,https://www.epicurious.com/recipes/food/views/low-fat-white-sauce-4988,https://www.edamam.com/web-img/694/6940409d3bb5778ea1b1cde8ffd48555.jpg
Low-Fat Roasties,http://www.bbcgoodfood.com/recipes/1567/,https://www.edamam.com/web-img/e62/e62b87249618a0f05ed89146c196747c.jpg
Luscious But Low-Fat Cheesecake,http://www.myrecipes.com/recipe/luscious-but-low-fat-cheesecake,https://www.edamam.com/web-img/69d/69deaca9b1d9d51b4bae43cf9b03b3d0.jpg
Low Fat Buttermilk Ranch Dressing,http://www.thenaptimechef.com/2013/04/spring-greens-salad-with-low-fat-buttermilk-ranch-dressing/,https://www.edamam.com/web-img/37c/37cea1615c508de77d1a8c5c1a6540d2.jpg
Low-fat Caesar salad,http://www.bbc.co.uk/food/recipes/low-fat_caesar_salad_38342,https://www.edamam.com/web-img/831/831711e175fbc8aab9af9a912c6b7ec0.jpg
Low-Fat Creamy Chive Dressing,http://www.delish.com/cooking/recipe-ideas/recipes/a34809/low-fat-creamy-chive-dressing-recipe-ghk0312/,https://www.edamam.com/web-img/c59/c593ac8b695be3aa16a6df58f54c3b4c.jpg
Low Fat Couscous Cucumber &amp;amp; Feta Salad,https://food52.com/recipes/4917-low-fat-couscous-cucumber-feta-salad,https://www.edamam.com/web-img/a33/a332121eaa60a84c93174a5ee54e06b2.jpg
Low-Fat Scalloped Potatoes,https://www.foodnetwork.com/recipes/food-network-kitchen/low-fat-scalloped-potatoes-recipe-2105432,https://www.edamam.com/web-img/763/7632c501fec279493ec32f8b3679283a.jpeg
Low-Fat Pasta e Fagioli,https://www.marthastewart.com/354782/pasta-e-fagioli,https://www.edamam.com/web-img/84e/84efcb9c9f758607d0a322124a75af89.jpg
Low-Fat Fettuccine Alfredo,https://www.realsimple.com/food-recipes/browse-all-recipes/low-fat-fettuccine-alfredo,https://www.edamam.com/web-img/628/6285aec8b45a3c7b0a261617daa6528c.jpg
Grainy Mustard Sauce,http://www.eatingwell.com/recipes/grainy_mustard_sauce.html,https://www.edamam.com/web-img/86f/86fa5910f81830d70f836f9067efdd70.jpg
Low Fat Oatmeal Banana Bread,http://www.joythebaker.com/blog/2009/04/low-fat-oatmeal-banana-bread/,https://www.edamam.com/web-img/21a/21a2658943f25e533d121216531bd7a1.jpg
Low-Fat Blue Cheese Dressing,https://www.marthastewart.com/344535/blue-cheese-dressing,https://www.edamam.com/web-img/90f/90f0a74d36f5ac35db5fae57941ab67c.jpg
Low-Fat Carrot Ginger Soup,https://www.epicurious.com/recipes/food/views/low-fat-carrot-ginger-soup-357030,https://www.edamam.com/web-img/fc3/fc317e5344553743bd456c47e5d217da.jpg
Low-Fat Mac and Cheese with Peas,http://www.myrecipes.com/recipe/low-fat-mac-cheese-with-peas,https://www.edamam.com/web-img/73f/73f08a28318c0241cecde1a97c54ee3b.jpg
Creamy Tomato Soup with Low-Fat Grilled Cheese Croutons,http://www.thedailymeal.com/recipes/creamy-tomato-soup-low-fat-grilled-cheese-croutons-recipe,https://www.edamam.com/web-img/9d2/9d2ee2d91edc555dc0e23be761058b2e.jpg
Cindy Francis's Crustless Quiche,http://www.goodhousekeeping.com/food-recipes/a7027/cindy-francis-crustless-quiche/,https://www.edamam.com/web-img/c0e/c0e7973b297d7a776a8feb799724611e.jpg
Low-fat chicken curry,http://www.bbc.co.uk/food/recipes/low-fat_chicken_curry_88832,https://www.edamam.com/web-img/13e/13e544c7de064adb2cb942455a220ecd.jpg
Mango Smoothie,http://www.realsimple.com/food-recipes/browse-all-recipes/mango-smoothie-00000000050660/index.html,https://www.edamam.com/web-img/cf2/cf2a36cbd5a683cfa560bbeaa6da7168.jpg
Low-Fat Raspberry-Corn Muffins,https://www.foodnetwork.com/recipes/food-network-kitchen/low-fat-raspberry-corn-muffins-recipe-1973063,https://www.edamam.com/web-img/c91/c91aa14b7e6ca4c3b3cf3c88dc7595e4.jpeg
"Cornflakes, Low-Fat Milk, and Berries recipes",http://www.myrecipes.com/recipe/cornflakes-low-fat-milk,https://www.edamam.com/web-img/704/7041c3f3a405ca57c221bc7057394b75
Spicy Low-Fat Chicken Patty,http://www.spoonfulblog.com/2006/06/spicy-low-fat-chicken-patty.html,https://www.edamam.com/web-img/ff9/ff94d8bff7362644638f220634a60b69.jpg
Low-Fat Italian Spaghetti and Meatballs,https://www.menshealth.com/recipes/low-fat-italian-spaghetti-and-meatballs,https://www.edamam.com/web-img/488/48877ad970562ca036079248da1b990c.jpg
Low-Fat Warm Eggnog,http://www.thedailymeal.com/recipes/low-fat-warm-eggnog-recipe,https://www.edamam.com/web-img/aa4/aa4caf19df485778e443c1198f0747e4.jpg
Low-Fat Fettuccine Alfredo,http://www.delish.com/cooking/recipe-ideas/recipes/a46857/greek-yogurt-alfredo/,https://www.edamam.com/web-img/5b1/5b10d862a973b6ef3aa72ddecad850e4.jpg
Low-Fat Twice-Baked Potatoes,https://www.marthastewart.com/1154795/low-fat-twice-baked-potatoes,https://www.edamam.com/web-img/d7e/d7eb79e8f281c1c178ddd35cd2b21815.jpg
Low-fat chicken and mushroom pie,http://www.bbc.co.uk/food/recipes/low-fat_chicken_and_43509,https://www.edamam.com/web-img/8b5/8b55cd963c71795eafb17e6df3dab2b4.jpg
Nicole’s Walnut-Tarragon Chicken Salad,http://www.thenaptimechef.com/2011/05/nicoles-walnut-tarragon-chicken-salad-for-a-picnic-naptime-everday/,https://www.edamam.com/web-img/6e7/6e7aa3dfe61f91710e1ad056686f4c32.jpg
Low-Fat Tartar Sauce,http://www.delish.com/cooking/recipe-ideas/recipes/a28706/low-fat-tartar-sauce-ghk/,https://www.edamam.com/web-img/12d/12d497ca609a8daad13bd87b3903ea69.jpg
Low-Fat Eggnog,https://www.foodnetwork.com/recipes/food-network-kitchen/low-fat-eggnog-recipe-1973060,https://www.edamam.com/web-img/44c/44c23daa586c12fcaa366902f8ab60bb.jpeg
Malted Milk Shake recipes,http://www.marthastewart.com/317544/malted-milk-shake,https://www.edamam.com/web-img/21a/21a17249f77a0d86fd94d489de07ddab
Peanut Butter and Grape Smoothie,https://www.epicurious.com/recipes/food/views/peanut-butter-and-grape-smoothie-51257370,https://www.edamam.com/web-img/40a/40a32177f53d8837f52e0836094f239f.jpg
Low-Fat Chocolate Pudding,http://www.thedailymeal.com/recipes/low-fat-chocolate-pudding-recipe,https://www.edamam.com/web-img/8cd/8cd2816a8a4b8607bac20441e8708ef7.jpg
Low-fat turkey Bolognese,http://www.bbcgoodfood.com/recipes/low-fat-turkey-bolognese,https://www.edamam.com/web-img/5a1/5a164ad0ed649da875052d3b8f4bbea1.jpg
Low-Fat Strawberry-Cinnamon Muffins,http://www.myrecipes.com/recipe/low-fat-strawberry-cinnamon-muffins,https://www.edamam.com/web-img/25d/25d63101850e5305e5bd185baf5a0933.jpg
Low-fat minced beef and potato pies,http://www.bbc.co.uk/food/recipes/low-fat_minced_beef_and_34423,https://www.edamam.com/web-img/409/40974949433dd9127383883aceba3153.jpg
Spelt or Kamut Tortillas,http://www.marthastewart.com/355585/spelt-or-kamut-tortillas,https://www.edamam.com/web-img/3fb/3fbf0ca9e80222c74cfa80a35ff8be72.jpg
Low Fat Christmas Pudding,http://www.bbcgoodfood.com/recipes/147604/,https://www.edamam.com/web-img/2ac/2acc6fd1865fb531ae913c122882f081.jpg
Mini Grilled Artichoke Hearts with Low Fat Spinach and Artichoke Dip,https://www.foodnetwork.com/recipes/mini-grilled-artichoke-hearts-with-low-fat-spinach-and-artichoke-dip-recipe-2085409,https://www.edamam.com/web-img/a27/a2796347a8fac84f57f62a05768aedbf.jpeg
Low-Fat Chef's Salad recipes,http://www.myrecipes.com/recipe/low-fat-chefs-salad,https://www.edamam.com/web-img/fdf/fdf4b5262fcb15eca6c10b4de1e60b64
Low-Fat Chocolate Pudding,https://www.foodnetwork.com/recipes/milky-way-pudding-recipe-2109123,https://www.edamam.com/web-img/7c5/7c504d3b3e5f6ffbc94d396c5c06bdf7.jpeg
Low-fat beef and bean burrito with lime yoghurt,http://www.bbc.co.uk/food/recipes/low-fat_beef_and_bean_53274,https://www.edamam.com/web-img/d95/d9525356a9b9be035a20e82f88b71ef4.jpg
Fresh Muesli with Apple and Almonds recipes,http://www.marthastewart.com/348579/fresh-muesli-apple-and-almonds,https://www.edamam.com/web-img/93c/93cb3a04bbc881bfeb1acf2eddcec2a2
Sneaky Chef Strawberry Short Shake,http://www.thedailymeal.com/recipes/sneaky-chef-strawberry-short-shake-recipe,https://www.edamam.com/web-img/28a/28abc6a63df05db2586ab83c55a94a72.jpg
Sexy Low-Fat Vanilla Cupcakes Recipe,http://www.thedailymeal.com/recipes/sexy-low-fat-vanilla-cupcakes-fresh-berries-recipe,https://www.edamam.com/web-img/d59/d59acfef21f7939e8790c28619f86186.jpg
Low-Fat Gingerbread with Warm Citrus Sauce,http://www.delish.com/cooking/recipe-ideas/recipes/a32042/low-fat-gingerbread-warm-citrus-sauce-recipe-120413/,https://www.edamam.com/web-img/5d0/5d0fab844fa35ceb6f3e66f952b2c86f.jpg
Low-fat chicken biryani,https://www.bbcgoodfood.com/recipes/low-fat-chicken-biryani,https://www.edamam.com/web-img/721/721087aa8c0c37abb5ff34244e3062ed.jpg
Low-Fat Custard recipes,http://www.myrecipes.com/recipe/low-fat-custard,https://www.edamam.com/web-img/2f2/2f2350a4084f11b1f9f0d6c4249bee2c
Spinach and Feta Egg Scramble,http://www.thedailymeal.com/spinach-and-feta-egg-scramble-recipe,https://www.edamam.com/web-img/1e5/1e58ca6bad8f07d0804c0a205b2c35a5.jpg
Green Goddess Ranch Dresssing,http://www.delish.com/cooking/recipe-ideas/recipes/a5045/green-goddess-ranch-dressing-recipe/,https://www.edamam.com/web-img/be6/be6455e3c93d2394a8dd83d1b80c20b0.jpg
Low-Fat Clam Chowder,https://www.foodnetwork.com/recipes/food-network-kitchen/low-fat-clam-chowder-recipe-1973217,https://www.edamam.com/web-img/a21/a2166a6de6fa85dac16bff990c429a9a.jpeg
Spinach Timballo,http://www.delish.com/cooking/recipe-ideas/recipes/a7618/spinach-timballo-recipe/,https://www.edamam.com/web-img/6de/6de39cfd2b0ddb855b4735ee2cea3ac7.jpg
Low-fat Shellfish Gumbo,http://www.myrecipes.com/recipe/low-fat-shellfish-gumbo,https://www.edamam.com/web-img/acc/acc9e22bbd4722fb3dfeaaef6f6c8dbc.jpg
Crème Fraîche,http://www.delish.com/cooking/recipe-ideas/recipes/a31037/creme-fraiche-recipe-ghk0910/,https://www.edamam.com/web-img/768/7684ffcc82fbec0e67ad2937579453d7.jpg
Low-Fat Lobster Rolls recipes,http://www.myrecipes.com/recipe/low-fat-lobster-rolls,https://www.edamam.com/web-img/98c/98ccee471c086e0eac0957a2891b8d07
Broccoli Cheese Soup,https://www.foodnetwork.com/recipes/broccoli-cheese-soup-3362271,https://www.edamam.com/web-img/67f/67f70b8fa3b22bc2e2058bb8831cdab5.jpeg
