name,url,image
Mediterranean Cucumber Tonic,https://www.marthastewart.com/1538442/mediterranean-cucumber-tonic,https://www.edamam.com/web-img/8cc/8ccb73c0777e65d3384c024d72fb0048
Loup de Mer (Mediterranean Seabass),https://food52.com/recipes/21821-loup-de-mer-mediterranean-seabass,https://www.edamam.com/web-img/f72/f729868844420d5da914d5f8a01ee1eb.jpg
"Mediterranean Baked Trout with Olives, Fennel & Tomatoes recipes",http://www.loveandoliveoil.com/2016/03/mediterranean-baked-trout.html,https://www.edamam.com/web-img/745/74591e26ccc9410eb4db8a026eb46e61
Mediterranean Salmon Risotto recipes,http://www.thenaptimechef.com/2013/02/mediterranean-salmon-risotto-with-sea-cuisine/,https://www.edamam.com/web-img/29e/29e6cb9112d70bd0785f849dc40e5825
Flatbread Pizza With Prosciutto & Gorgonzola,http://www.bbcgoodfood.com/recipes/3616/,https://www.edamam.com/web-img/077/07730d9bbef5934076183d99c3dd3ac4.jpg
Herby Mediterranean Fish with Wilted Greens & Mushrooms,http://www.eatingwell.com/recipe/279113/herby-mediterranean-fish-with-wilted-greens-mushrooms/,https://www.edamam.com/web-img/899/8996410b740e8f3611d621145330939f
Mediterranean Salmon Stuffed Shells,http://www.thedailymeal.com/recipes/mediterranean-salmon-stuffed-shells-recipe,https://www.edamam.com/web-img/3a3/3a3b5a86f98ac7921047b970a510a703.jpg
Mediterranean Spiced Cucumber Medallions,https://www.foodnetwork.com/recipes/janet-johnston/mediterranean-spiced-cucumber-medallions-recipe-1919778,https://www.edamam.com/web-img/da9/da9a43c422d901517eba5194873bc6ea.jpeg
Marinated Mediterranean Olives,http://www.jamieoliver.com/recipes/vegetarian-recipes/arinated-mediterranean-olives,https://www.edamam.com/web-img/f9f/f9faebecc715d71cf5ca9efa5a1a9e67.jpg
Mediterranean Carrot Salad recipes,http://www.myrecipes.com/recipe/mediterranean-carrot-salad-0,https://www.edamam.com/web-img/3ec/3ecfcd884ba5d42ae9f926bcb661bde3
Loup De Mer (Mediterranean Seabass),http://food52.com/recipes/21821-loup-de-mer-mediterranean-seabass,https://www.edamam.com/web-img/cf9/cf92b0ff47f172766a88036739131a83.jpg
Grilled Mediterranean Snapper,http://honestcooking.com/grilled-mediterranean-snapper-recipe/,https://www.edamam.com/web-img/7d8/7d8bb9b40c2397be60b97e10c0b0576a.jpg
Mediterranean Chicken Lettuce Wrap Tacos recipes,http://www.marthastewart.com/877005/mediterranean-chicken-lettuce-wrap-tacos,https://www.edamam.com/web-img/bc8/bc897d30c55e65998d21db346e95293c
Mediterranean Chicken,https://www.epicurious.com/recipes/food/views/mediterranean-chicken-109265,https://www.edamam.com/web-img/a26/a2653cd2ab2799fbef6a857613c2a8bd.jpg
Mediterranean Chicken,https://www.realsimple.com/food-recipes/browse-all-recipes/mediterranean-chicken,https://www.edamam.com/web-img/68e/68e6e3e4a0c540386158f0e08cc97f38.jpg
Mediterranean Mix,https://www.self.com/recipe/mediterranean-mix,https://www.edamam.com/web-img/173/17377adf4cbdb47a9c000e3f3965d492.jpg
Mediterranean Lasagna,http://www.cookstr.com/recipes/mediterranean-lasagna,https://www.edamam.com/web-img/141/1417a4e50dcc7548ba585fc9009ee919.jpg
Mediterranean Olive Hummus,http://pinchmysalt.com/2007/09/10/mediterranean-olive-hummus/,https://www.edamam.com/web-img/584/584a0d50b97ddf4069730edf2f30b3bd.jpg
