name,url,image
Gluten-Free Peanut Butter Chocolate Chip Bars Recipe,http://www.seriouseats.com/recipes/2012/02/gluten-free-peanut-butter-chocolate-chip-bars-recipe.html,https://www.edamam.com/web-img/acd/acd6f01d08db76961ff74a72001e7baa.jpg
Peanut Butter Ice Cream with a Hard Chocolate Shell,https://www.epicurious.com/recipes/food/views/peanut-butter-ice-cream-with-a-hard-chocolate-shell-51183420,https://www.edamam.com/web-img/d4a/d4af4cd7bfbb4d2ca29237d51415ff35.jpg
Peanut Butter Coconut Treats,https://food52.com/recipes/81822-peanut-butter-coconut-treats,https://www.edamam.com/web-img/98c/98c81e036a592ab423f7933f9d8ae9f2.jpg
Peanut Butter Bars,http://glutenfreegirl.com/2011/11/unbakedmaybe/,https://www.edamam.com/web-img/b30/b30f30d2224950b0ea21e363734e4f5b.jpg
Red onion with peanut butter & chilli,https://www.bbcgoodfood.com/recipes/red-onion-peanut-butter-chilli,https://www.edamam.com/web-img/064/0642e8b60688889e724312c69e801f2d.jpg
Peanut butter cookies,http://www.bbc.co.uk/food/recipes/crunchypeanutbutterc_87012,https://www.edamam.com/web-img/fd6/fd621dbfa46dfb2e4d5457d03ef03f0e.jpg
Chocolate Crackers With Peanut Butter Filling (gluten free),http://honestcooking.com/chocolate-crackers-with-peanut-butter-filling-gluten-free/,https://www.edamam.com/web-img/d1c/d1c86876add4faf241ead40c6c59ce06.jpg
Easy Peanut Butter Fudge recipes,http://www.simplyrecipes.com/recipes/easy_peanut_butter_fudge/,https://www.edamam.com/web-img/b48/b4880e4db91864589214476db46c6a90
Gluten-Free Peanut Butter Chocolate Chunk Cookies,https://www.chowhound.com/recipes/gluten-free-peanut-butter-chocolate-chunk-cookies-31191,https://www.edamam.com/web-img/c34/c34f6b8831b31ae0eabce634ee1813ae.jpg
Gluten-Free Flourless Peanut Butter Cookies,http://www.seriouseats.com/recipes/2013/04/gluten-free-flourless-peanut-butter-cookies-recipe.html,https://www.edamam.com/web-img/000/0003b97fce35b7b4d4883e32ecc398f1.jpg
No-churn Vegan Peanut Butter Chocolate Chip Ice Cream recipes,http://thepioneerwoman.com/food-and-friends/peanut-butter-chocolate-chip-ice-cream/,https://www.edamam.com/web-img/436/436a1011971012df34b58ceb0aaffcf8
Baked Peanut Butter & Jelly Oatmeal,http://honestcooking.com/baked-peanut-butter-and-jelly-oatmeal/,https://www.edamam.com/web-img/a24/a24cad248c1eb1b77676860978193ee7.jpg
Chocolate peanut butter meringue stack,http://www.jamieoliver.com/recipes/chocolate-recipes/chocolate-peanut-butter-meringue-stack/,https://www.edamam.com/web-img/275/2758012fb1bfc278471e8c04defa6166.jpg
Gluten-Free Peanut Butter Cookies,http://userealbutter.com/2010/01/13/gluten-free-peanut-butter-cookies-recipe/,https://www.edamam.com/web-img/ffb/ffbc2849fc29de4aad7feba6ddd1f66f.jpg
Fresh-ground Peanut Butter Cookies,https://food52.com/recipes/12547-fresh-ground-peanut-butter-cookies,https://www.edamam.com/web-img/aee/aee0871f6dabff7a99a07ea5918c5381.JPG
"Chocolate, Banana and Peanut Malted (Sponsored)",https://www.foodnetwork.com/recipes/chocolate-banana-peanut-butter-smoothie-recipe-2108541,https://www.edamam.com/web-img/1f7/1f704b7a70739ee382a4b3fe2335541e.jpeg
Peanut Butter Ice Cream With a Hard Chocolate Shell,https://www.self.com/recipe/peanut-butter-ice-cream-with-hard-chocolate-shell,https://www.edamam.com/web-img/105/1059d40be8d7837afaf8ba76bfa2e42c.jpg
Crispy Peanut Butter Chocolate Chip Cookies (Gluten-Free) recipes,http://ohsheglows.com/2012/12/05/crispy-peanut-butter-chocolate-chip-cookies-vegan-gluten-free/,https://www.edamam.com/web-img/94f/94fcd38ee3312d2c8097f73d5dcfa1b7
Sweet Peanut Sauce,https://www.menshealth.com/recipes/sweet-peanut-sauce,https://www.edamam.com/web-img/f72/f723b1f7950b4f8ef6483dc0ce7ce7ac.jpg
Gluten-Free Brownies recipes,http://www.chowhound.com/recipes/gluten-free-brownies-29402,https://www.edamam.com/web-img/31c/31c991671875eeaa0797f16166e76284
Keto Peanut Butter Cup Fat Bombs,https://www.delish.com/cooking/recipe-ideas/a27256803/keto-peanut-butter-cup-fat-bombs-recipe/,https://www.edamam.com/web-img/ddc/ddcf485537096bf8ccd4a7b13e38df1e.jpg
Vegan banana & peanut butter cupcakes,http://www.bbcgoodfood.com/recipes/vegan-banana-peanut-butter-cupcakes,https://www.edamam.com/web-img/b7e/b7e776d9c66c596b09da21c8ed3b943c.jpg
