name,url,image
Plant-Based Smashed Burgers,http://www.eatingwell.com/recipe/278545/plant-based-smashed-burgers/,https://www.edamam.com/web-img/fae/fae7a3e881750eec5cd35cdc2b86da5b
Plant-Based Brioche,https://food52.com/recipes/83253-vegan-brioche-recipe,https://www.edamam.com/web-img/810/8101cdbfbb40dee63ba3248887c2abdf.png
Blueberry and Banana Bread Overnight Oats Recipe,https://www.chowhound.com/recipes/blueberry-banana-oats-recipe-32138,https://www.edamam.com/web-img/a50/a505b94526a0df7d556c56727a9b6529.jpg
Roasted Banana Strawberry Popsicles,https://food52.com/recipes/76530-roasted-banana-strawberry-popsicles,https://www.edamam.com/web-img/909/909606674e0353bf30638c000deceb31.jpeg
Fruity Vegan Breakfast Pops Are the Coolest Idea Ever,http://www.myrecipes.com/recipe/fruity-vegan-breakfast-pops-are-the-coolest-idea-ever,https://www.edamam.com/web-img/ba8/ba8e4857612a8b4bc98967dad4d99b90.jpg
Plant-Based Quinoa Bowl,https://www.thedailymeal.com/recipes/plant-based-quinoa-bowl-recipe,https://www.edamam.com/web-img/b4d/b4d877246793827f625ecbe35b2fa579.jpg
Rhubarb Juice Recipe,http://www.seriouseats.com/recipes/2013/05/tart-unsweetened-homemade-rhubarb-juice-recipe.html,https://www.edamam.com/web-img/f14/f1492ce026ed044bb4fa847a56de096f.jpg
Spiced ‘chorizo’ pastry slices,https://www.bbcgoodfood.com/recipes/spiced-chorizo-pastry-slices,https://www.edamam.com/web-img/b9c/b9c2e10a5f7d7f99ff8ebed416bfc72f.jpg
Apple Pie Overnight Oats Recipe,https://www.chowhound.com/recipes/apple-pie-overnight-oats-32139,https://www.edamam.com/web-img/a50/a505b94526a0df7d556c56727a9b6529.jpg
"Oat, Nut, and Seed Milk",https://www.marthastewart.com/1526313/alt-milks,https://www.edamam.com/web-img/591/59147394dfa53b5d19850744ebe589ef
Plant-Based Bolognese with Spaghetti Squash,https://food52.com/recipes/77665-plant-based-bolognese-with-spaghetti-squash,https://www.edamam.com/web-img/a33/a332121eaa60a84c93174a5ee54e06b2.jpg
Mint & Thyme Quinoa with Organic Peas,http://honestcooking.com/mint-thyme-quinoa-with-organic-peas/,https://www.edamam.com/web-img/feb/febc2c3b82b7dac219b9fdccd6d2859d.jpg
'Frozen Monkey' Coffee Chocolate Banana Smoothie Recipe,http://www.seriouseats.com/recipes/2013/04/frozen-monkey-coffee-chocolate-banana-smoothie-almond-milk-recipe.html,https://www.edamam.com/web-img/001/001a3af9bf3c455c074b8f4ab796e5ec.jpg
Crunchy Stuffed Cremini Mushrooms,https://www.epicurious.com/recipes/food/views/crunchy-stuffed-cremini-mushrooms,https://www.edamam.com/web-img/ec6/ec628a293b87a984ae80a3b7e2382cff.jpg
Recipe: Vegan Sweet Potato Chowder,http://www.thekitchn.com/recipe-vegan-sweet-potato-chowder-234109,https://www.edamam.com/web-img/d88/d88df30103d13dcc60582ab85c935c94
MATCHA GREEN TEA LATTE,https://food52.com/recipes/72292-matcha-green-tea-latte,https://www.edamam.com/web-img/95f/95f7749fb5678b30f7ec9d9ee005ba4c.jpg
Chocolate Pear Smoothie Bowl,http://www.thedailymeal.com/recipes/chocolate-pear-smoothie-bowl-recipe,https://www.edamam.com/web-img/350/3502266cd18831849783383dbbfc61a2.jpg
Cherry Vanilla Almond Smoothie Recipe,http://www.seriouseats.com/recipes/2013/07/cherry-vanilla-almond-smoothie-vegan-dairy-free-drink.html,https://www.edamam.com/web-img/447/447fb043f27d58c429f496d6cff72e3b.jpg
Vegan Masa,http://www.cookstr.com/recipes/vegan-masa,https://www.edamam.com/web-img/562/562afce37d5cd60eaaba6c9461d9ba6e.jpg
Easy vegan burgers,https://www.bbcgoodfood.com/recipes/easy-vegan-burgers,https://www.edamam.com/web-img/372/37258e00ebb33fb1860315dd47f74def.jpg
Soybean Patties,https://www.marthastewart.com/313489/soybean-patties,https://www.edamam.com/web-img/4cb/4cb3656ab07ecb01cacdfde47aefad36.jpg
Sheet Pan Vegetable Hash with Eggs,https://www.marthastewart.com/1544479/sheet-pan-vegetable-hash-eggs,https://www.edamam.com/web-img/916/91675563c4aa5544dd1025e2d7c6579d
Roasted Chickpea Curry Bowl,http://www.eatingwell.com/recipe/281183/roasted-chickpea-curry-bowl/,https://www.edamam.com/web-img/249/24914b656e151e7d3a6f7dd0483da2d2
