name,url,image
Gluten-free vegan + soy-free French toast,https://food52.com/recipes/71919-gluten-free-vegan-soy-free-french-toast,https://www.edamam.com/web-img/162/162b95c0ee59f690b85ac2cffc54d157.jpg
No-churn Vegan Peanut Butter Chocolate Chip Ice Cream recipes,http://thepioneerwoman.com/food-and-friends/peanut-butter-chocolate-chip-ice-cream/,https://www.edamam.com/web-img/436/436a1011971012df34b58ceb0aaffcf8
Soy-Free Vegan Mac and Cheese,http://www.thedailymeal.com/recipes/soy-free-vegan-mac-and-cheese-recipe,https://www.edamam.com/web-img/c29/c297254eb3f3b19f02ec0c82bbc6d1dc.jpg
Gluten-Free Tuesday: Allergen-free Chocolate Pumpkin Spice Cake,http://www.seriouseats.com/recipes/2011/09/gluten-free-tuesday-allergen-free-chocolate-pumpkin-spice-cake-recipe.html,https://www.edamam.com/web-img/6f0/6f0915adf0823912aa43d88975264d22.jpg
Mashed Cauliflower,https://food52.com/recipes/7750-mashed-cauliflower,https://www.edamam.com/web-img/2c8/2c84243ac8e2540d3d9e60915900479c.jpg
Poached Tomato With Zucchini “Soba”,http://norecipes.com/blog/2009/08/19/poached-tomato-with-zucchini-soba-recipe/,https://www.edamam.com/web-img/217/2176115274e5db1d8cdb5bc93f11dc97.jpg
Homemade Wheat Thins recipes,http://ohsheglows.com/2011/02/17/homemade-wheat-thins/,https://www.edamam.com/web-img/3f1/3f170f4b77223604ea179a43acb92a45
Peas Mint Recipe,http://whiteonricecouple.com/recipes/peas-mint/,https://www.edamam.com/web-img/f7f/f7f47afae4c132dc72c891142d978dca.jpg
Sesame-Soy Vinaigrette,https://www.marthastewart.com/1146992/sesame-soy-vinaigrette,https://www.edamam.com/web-img/f77/f77a6752b6caaa854142544cf8fa9f06.jpg
Steak Teriyaki recipes,http://www.simplyrecipes.com/recipes/steak_teriyaki/,https://www.edamam.com/web-img/1ab/1abd0d75240a799f4985de6b17f6645f
Gluten-Free French Toast,http://glutenfreegirl.com/2009/01/french-toast-for-2009/,https://www.edamam.com/web-img/876/8760bf3f0e4a9396f05724ad58b78959.jpg
Sneaky Shamrock Spinach Crackers recipes,http://ohsheglows.com/2012/03/15/easy-st-patricks-day-appetizer-sneaky-shamrock-crackers-green-dip/,https://www.edamam.com/web-img/5d2/5d215428f07447f97d419d110b4db43e
Sesame & Soy-Brined Chicken,http://www.cookstr.com/recipes/sesame-amp-soy-brined-chicken,https://www.edamam.com/web-img/313/313c6ed2d4423b771288176cdadfa4ca.jpg
Soy Sticks,https://www.marthastewart.com/343790/soy-sticks,https://www.edamam.com/web-img/b28/b2842ec511b2fdfa62926f10cc6c8f04.jpg
Marinated Grilled Chicken recipes,http://www.pbs.org/parents/kitchenexplorers/2012/04/19/marinated-grilled-chicken/,https://www.edamam.com/web-img/ca1/ca10027dc8e383b89e99367b31ffe837
Steel-Cut Oatmeal With Soy Milk,http://www.foodandwine.com/recipes/steel-cut-oatmeal-with-soy-milk,https://www.edamam.com/web-img/5db/5db952c65ce4985f10f95cf94677fe9c.jpg
Spicy Ginger Garlic Soy Tofu | Good Habits and Guilty Pleasures recipes,http://www.sippitysup.com/sup-loves-cookbooks-herbivoravious/,https://www.edamam.com/web-img/98d/98d3cb5b76fbf828af4d0dc419cabd20
Gwyneth Paltrow’s Life-Changing Avocado Toast,http://www.thedailymeal.com/recipes/gwyneth-paltrow-s-life-changing-avocado-toast-recipe,https://www.edamam.com/web-img/6be/6be6b6f992498e16be5318fccd6eb760.jpg
'Guilt-free gourmet' sticky toffee pudding,http://www.bbc.co.uk/food/recipes/guilt-free_gourmet_20918,https://www.edamam.com/web-img/60e/60ec86d3d467c0582955fe2a234eec54.jpg
Gluten-Free Hamburger Buns,http://glutenfreegirl.com/2010/06/gluten-free-hamburger-buns/,https://www.edamam.com/web-img/759/759244fff671aa2c4225f701eddac546.jpg
Honey Mustard Chicken Wings recipes,http://www.simplyrecipes.com/recipes/savory_chicken_drummettes/,https://www.edamam.com/web-img/f1e/f1e5978cc3fdde242c1043b045ca84da
Shrimp Fried Rice Recipe,http://steamykitchen.com/1331-shrimp-fried-rice.html,https://www.edamam.com/web-img/251/2515a6010b9345266c79fcfd0a56d7cf.jpg
Easy Paleo Beef with Broccoli,https://food52.com/recipes/77444-easy-paleo-beef-with-broccoli,https://www.edamam.com/web-img/217/21788d7f58c5171f33bf7a607679503a.jpg
Blueberry-Pomegranate Smoothie,https://www.menshealth.com/recipes/blueberry-pomegranate-smoothie,https://www.edamam.com/web-img/d7e/d7ef13cf60a8dce1fd9a39fc6ced2a14.jpg
Espresso Soy Milk Shake recipes,http://www.myrecipes.com/recipe/espresso-soy-milk-shake,https://www.edamam.com/web-img/bd1/bd1e85fff3cde858e7e87e09df1ea603
