name,url,image
Vegan cupcakes,https://www.bbcgoodfood.com/recipes/vegan-cupcakes,https://www.edamam.com/web-img/73f/73f15b90b6e64653c77ef759ed9ccdea.jpg
Vegan Chocolate-Coffee Muffins Recipe,http://www.seriouseats.com/recipes/2014/04/vegan-chocolate-coffee-muffins.html,https://www.edamam.com/web-img/cd0/cd0f763c1566ec5a0f0ae099ecebc5a7.jpg
Baked Vegan Mac and Cheese Recipe,https://www.chowhound.com/recipes/baked-vegan-mac-and-cheese-32141,https://www.edamam.com/web-img/28a/28a32a73f93b6b002765a204302d6371.jpg
Vegan Broccoli Soup Recipe,http://www.foodrepublic.com/2012/03/28/classic-american-fare-now-vegan,https://www.edamam.com/web-img/8c8/8c8506a5b2f074b7a5aa148710eb85a8.jpg
Marbled Chocolate Protein Cookies (Vegan),https://food52.com/recipes/77222-marbled-chocolate-protein-cookies-vegan,https://www.edamam.com/web-img/717/71733c4f84613e42b48ab33249bf838f.png
Vegan Cucumber Tea Sandwiches,https://www.marthastewart.com/1526080/vegan-cucumber-tea-sandwiches,https://www.edamam.com/web-img/266/266b131b87cf6b01417b0515a2a7b41d
Vegan Nachos,http://honestcooking.com/dairy-free-vegan-nachos-recipe/,https://www.edamam.com/web-img/ed3/ed32750be9cc9b518e464a812c533f59.jpg
Vegan Candied Almonds,http://ohsheglows.com/2009/12/16/easy-vegan-holiday-party-appetizers-take-1/,https://www.edamam.com/web-img/624/6245ab7357cdda97a54d605f3315bbc0.jpg
The Best Vegan Breakfast Sandwich,https://www.epicurious.com/recipes/food/views/the-best-vegan-tofu-breakfast-sandwich,https://www.edamam.com/web-img/a73/a73159b4affa3460299feea42c4430be.jpg
{Vegan} Peanut Butter & Honey Muffins recipes,http://pinchofyum.com/peanut-butter-honey-muffins,https://www.edamam.com/web-img/389/389330863fe0a761d97a1b138e00bb0d
Vegan Pots de Crème,http://www.pbs.org/food/recipes/pots-de-creme/,https://www.edamam.com/web-img/77d/77da20635b276eda8615dfd197efdccf.jpg
Vegan Macaroni Salad,http://www.eatingwell.com/recipe/278403/vegan-macaroni-salad/,https://www.edamam.com/web-img/57b/57b5d98c7ce021814a0b625018a48460
Vegan toffee apple upside-down cake,http://www.jamieoliver.com/recipes/fruit-recipes/vegan-toffee-apple-upside-down-cake/,https://www.edamam.com/web-img/3fd/3fdc78b639068ebbcf08f8cc564a1569.jpg
Vegan Stovetop Lasagna,http://www.thedailymeal.com/recipes/vegan-stovetop-lasagna-recipe,https://www.edamam.com/web-img/3b5/3b5b3ba26f08f288f451f7e6e95fb429.jpg
Vegan scones,https://www.bbcgoodfood.com/recipes/vegan-scones,https://www.edamam.com/web-img/ab2/ab2cba3a8160ec1506d85b059297e1ca.jpg
Vegan Chocolate Chocolate Chip Cookies,http://www.joythebaker.com/blog/2011/04/vegan-chocolate-chocolate-chip-cookies/,https://www.edamam.com/web-img/471/471b73021785f73d5a5165eadb0a27b6.jpg
Vegan Italian Cold Cut Sandwich,https://www.foodnetwork.com/recipes/vegan-italian-cold-cut-sandwich-3373748,https://www.edamam.com/web-img/525/5258c214636c54eea2e53ca19bf11273.jpeg
Vegan Chocolate Pie,https://food52.com/recipes/25316-vegan-chocolate-pie,https://www.edamam.com/web-img/02f/02f619a93a4f6e1789359c3b5bad6368.jpg
Vegan Mushroom Tea Sandwiches,https://www.marthastewart.com/1526081/vegan-mushroom-tea-sandwiches,https://www.edamam.com/web-img/02e/02e0b2f027fc35439ccc3ed33cd5bf46
Creamy Vegan Butternut Squash Mac And Cheese,http://www.myrecipes.com/recipe/creamy-vegan-butternut-squash-mac-and-cheese-188411/,https://www.edamam.com/web-img/b42/b4248398338d305a6f23e51185214ba5.jpg
Vegan Cinnamon Rolls Recipe,https://www.chowhound.com/recipes/vegan-cinnamon-rolls-32177,https://www.edamam.com/web-img/ecb/ecb389431243dd6fd65263f0c20c4509.jpg
Simple Vegan Tofu Lasagna,http://www.wholefoodsmarket.com/recipes/2666,https://www.edamam.com/web-img/997/997baf208d769a4d67489932b3701085.jpg
Bean and Potato Vegan Enchiladas recipes,http://www.foodandwine.com/recipes/bean-and-potato-vegan-enchiladas,https://www.edamam.com/web-img/f14/f14b16eae80fd7f55df8654ff1fd363c
Vegan Caesar Salad Dressing,http://ohsheglows.com/2010/06/25/easy-vegan-caesar-salad/,https://www.edamam.com/web-img/f84/f845259b1b23ed6fd5d065efdf6891b5.jpg
Vegan Jambalaya,http://www.eatingwell.com/recipe/277665/vegan-jambalaya/,https://www.edamam.com/web-img/e1f/e1f8b1653086b2b8fd2e612bf70ce55a
Carrot Cake With Vegan Cream Cheese Frosting,https://www.delish.com/cooking/recipe-ideas/recipes/a53004/carrot-cake-vegan-frosting-recipe/,https://www.edamam.com/web-img/040/040a894611ffc5cc3ae908fc00e3ab1f.jpg
Soft Vegan Ginger Cookies,http://www.joythebaker.com/blog/2011/03/soft-vegan-ginger-cookies/,https://www.edamam.com/web-img/d42/d427e9f8a3c1ed9f7100b74d014d7019.jpg
Vegan Meatballs,https://www.marthastewart.com/1120262/vegan-meatballs,https://www.edamam.com/web-img/8b3/8b38d9a6c0dea85e443307459200f51f.jpg
Vegan Pasta Pie,http://glutenfreegoddess.blogspot.com/2009/05/vegan-pasta-pie.html,https://www.edamam.com/web-img/6b2/6b267283df798d06a3137ef673e87a60.jpg
Vegan Stroganoff recipes,http://www.pbs.org/food/fresh-tastes/yes-can-make-vegan-stroganoff/,https://www.edamam.com/web-img/794/7948630c75afb2bbcb03564bff487d81
Vegan banana & peanut butter cupcakes,http://www.bbcgoodfood.com/recipes/vegan-banana-peanut-butter-cupcakes,https://www.edamam.com/web-img/b7e/b7e776d9c66c596b09da21c8ed3b943c.jpg
Vegan Sesame Strugglaire’s Shortbread,https://food52.com/recipes/82856-vegan-sesame-strugglaire-s-shortbread,https://www.edamam.com/web-img/c65/c65cc70476ec4c294128648f2aef70e2.jpeg
