name,url,image
Vegetarian Stir-Fried Garlic Scape,http://redcook.net/2010/06/16/garlic-scape-an-off-menu-treat/,https://www.edamam.com/web-img/33e/33e894ef1df09575df1f8fdb348d6d9a.png
Individual vegetarian lasagnes,http://www.jamieoliver.com/recipes/vegetables-recipes/individual-vegetarian-lasagnes/,https://www.edamam.com/web-img/775/7757b08b70371bcb03d3c10199e70e77.jpg
Vegetarian Shepherd's Pie,https://www.marthastewart.com/1535235/vegetarian-shepherds-pie,https://www.edamam.com/web-img/a45/a4598c01957781c223a1c95c15141428
Vegetarian Cassoulet,http://smittenkitchen.com/2008/03/vegetarian-cassoulet/,https://www.edamam.com/web-img/a31/a31e34980c125d62647227b394c6d326.jpg
Vegetarian Minestrone,http://herbivoracious.com/2009/10/minestrone.html,https://www.edamam.com/web-img/8e2/8e2e9edf924d72b48f9473cb21de8be7.jpg
Vegetarian Poutine,https://food52.com/recipes/25906-vegetarian-poutine,https://www.edamam.com/web-img/b66/b663877afdef9bfabf143346a31560b9.jpg
Vegetarian Gumbo,http://www.101cookbooks.com/archives/vegetarian-gumbo-recipe.html,https://www.edamam.com/web-img/167/167f309f2aa59ddc323d1c53eb4a183c.jpg
Zucchini With Thyme,http://simplyrecipes.com/recipes/zucchini_with_thyme/,https://www.edamam.com/web-img/f4b/f4b2a09c61029f362aea7e8b9e8ef12e.jpg
Vegetarian Tacos,https://www.chowhound.com/recipes/healthy-vegetable-tacos-31032,https://www.edamam.com/web-img/24e/24e8f02438dd3c199fcc0287bad7a8ec.jpg
Slow-roasted tomato & Gruyère tart,http://www.bbcgoodfood.com/recipes/472629/slowroasted-tomato-and-gruyre-tart,https://www.edamam.com/web-img/4df/4df3b1a63c35f342223ca892c47f169b.jpg
Vegetarian Tagine,https://www.epicurious.com/recipes/food/views/vegetarian-tagine-56389876,https://www.edamam.com/web-img/50c/50c5fd7f731a6a4a88c2110acf23d4cc.jpg
Vegetarian Bagel,http://userealbutter.com/2008/12/21/vegetarian-bagel-recipe/,https://www.edamam.com/web-img/8cf/8cfd05657ae0e945594a2790c53182bc.jpg
Vegetarian Tuscan Vegetable Soup,http://www.thedailymeal.com/recipes/vegetarian-tuscan-vegetable-soup-recipe,https://www.edamam.com/web-img/ab5/ab58258794b8c3be709774027420d3d8.jpg
Vegetarian chilli,http://www.bbc.co.uk/food/recipes/vegetarianchilli_6544,https://www.edamam.com/web-img/88f/88f6d7ddf7a4d4d2d3383c51dc19f54e.jpg
Vegetarian Gumbo,http://honestcooking.com/vegetarian-gumbo-recipe/,https://www.edamam.com/web-img/15c/15c57e69e913be9d452625343a1e1505.jpg
Vegetarian Chili,http://www.saveur.com/article/Recipes/Vegetarian-Chili,https://www.edamam.com/web-img/b6f/b6fe13bcd09cd000faca7aa534a180f0.jpg
Ultimate Tostada Bar: Smoky Refried Beans,http://www.rachaelray.com/recipe/ultimate-tostada-bar-smoky-refried-beans/,https://www.edamam.com/web-img/e24/e242a69e7a02163f8ff7f591a657a0af.jpg
Vegetarian Pancit Bihon,https://kitchenconfidante.com/vegetarian-pancit-bihon-filipino-rice-noodles-veggies,https://www.edamam.com/web-img/afb/afb70ebcab234272d5b736da46bad7af.jpg
Vegetarian Stock,http://redcook.net/2009/08/05/vegetarian-stock/,https://www.edamam.com/web-img/fe1/fe18637b94e5e04cfe0c5273c0901c09.jpg
BBQ Sauce recipes,http://www.closetcooking.com/2010/05/bbq-sauce.html,https://www.edamam.com/web-img/fed/fed9ca0ac635ed2feebd5344ede99b64
Vegetarian Asian Lettuce Wraps,http://www.myrecipes.com/recipe/vegetarian-asian-lettuce-wraps,https://www.edamam.com/web-img/cff/cffdeabfd4b70ba5ca042d10b3f51074.jpg
Buddhist Vegetarian Stew (Lo Han Jai) recipes,http://www.pbs.org/food/recipes/buddhist-vegetarian-stew-lo-han-jai/,https://www.edamam.com/web-img/83b/83be79084f2ec329fdf0ce7c3401026a
Vegetarian Jambalaya,https://food52.com/recipes/23674-vegetarian-jambalaya,https://www.edamam.com/web-img/812/8121fab62b5bbbbd0b59f95351ef6fd7.jpg
Vegetarian Gumbo,http://www.eatingwell.com/recipe/277664/vegetarian-gumbo/,https://www.edamam.com/web-img/117/117e588455b7f23c3cde6c9b335c6089
Vegetarian Cassoulet,https://www.epicurious.com/recipes/food/views/vegetarian-cassoulet-241753,https://www.edamam.com/web-img/9a6/9a6e3013f417575a8a92b5aeabeb9b7e.jpg
Vegetarian Lasagne,http://www.cookstr.com/recipes/vegetarian-lasagne,https://www.edamam.com/web-img/880/8808c6a8fae262b301ded507e9bb7203.jpg
Vegetarian Chili,http://www.delish.com/cooking/recipe-ideas/recipes/a32528/vegetarian-chili-recipe-120262/,https://www.edamam.com/web-img/243/24306ab63e4d66407437bcbe9ecf2081.jpg
Vegetarian Minestrone,https://www.marthastewart.com/1154174/minestrone,https://www.edamam.com/web-img/e10/e10ee7fe7961b9ee3821a35297700602.jpg
Vegetarian Chili,https://www.menshealth.com/recipes/vegetarian-chili-0,https://www.edamam.com/web-img/507/5072c509435f772f1e1d6900c2c1a00d.jpg
Vegetarian Chili,http://www.spoonfulblog.com/2006/10/vegetarian-chili.html,https://www.edamam.com/web-img/c63/c63bca480cded1c29f8434ec77b368eb.jpg
"""Meaty"" Vegetarian Chili",http://www.myrecipes.com/recipe/meaty-vegetarian-chili,https://www.edamam.com/web-img/1c1/1c16f7c3b4015b9b1ea721da302765e1.jpg
Vegetarian Gravy,https://www.foodnetwork.com/recipes/food-network-kitchen/vegetarian-gravy-3363139,https://www.edamam.com/web-img/251/2518136e4353392acebf48215d9153d5.jpeg
Vegetarian Udon,http://www.pbs.org/food/recipes/vegetarian-udon/,https://www.edamam.com/web-img/562/5624f1980207510b8b5911adb4eaf2f3.jpg
Vegetarian Enchiladas,http://www.thedailymeal.com/vegetarian-enchiladas-recipe,https://www.edamam.com/web-img/34f/34f43db99aef9a4da11e91871c21f843.jpg
Vegetarian Quiche,https://food52.com/recipes/77656-vegetarian-quiche,https://www.edamam.com/web-img/a0a/a0a1cd228b50b815c7802287ff59f6dd.jpg
Vegetarian Moussaka,https://www.delish.com/cooking/recipe-ideas/a30876085/vegetarian-moussaka-recipe/,https://www.edamam.com/web-img/f42/f428d0924fee29ddae8155b1cdaaeb03.jpg
Vegetarian Lasagna,http://www.pbs.org/food/recipes/vegetarian-lasagna/,https://www.edamam.com/web-img/99d/99d455bfc1b3d3da6ee0e820c4b458f2.jpg
Vegetarian Chili,https://www.foodnetwork.com/recipes/vegetarian-chili-recipe-1953200,https://www.edamam.com/web-img/4de/4de527fc95a9af7e6109678871985b3c.jpeg
Macaroni cheese with veg,https://www.bbcgoodfood.com/recipes/macaroni-cheese-veg,https://www.edamam.com/web-img/083/08313f4f1c6c1207ffb902aa0675e95b.jpg
Spaghetti with Vegetarian “Meat” Sauce,http://www.myrecipes.com/recipe/spaghetti-with-vegetarian-meat-sauce,https://www.edamam.com/web-img/f01/f018335fe358a9e409a37e2f9489fa85.jpg
Vegetarian Moussaka,https://food52.com/recipes/7798-vegetarian-moussaka,https://www.edamam.com/web-img/c1a/c1aa0babf922e436fc216f2105ac4e35.JPG
Vegetarian Enchiladas,https://www.delish.com/cooking/recipe-ideas/a23573506/vegetarian-enchiladas-recipe/,https://www.edamam.com/web-img/42c/42cf5d8c72ab872926da4af1a17c0791.jpg
Vegetarian Potpie,https://www.foodnetwork.com/recipes/food-network-kitchen/vegetarian-potpie-3361611,https://www.edamam.com/web-img/908/9083a8eb40680acd2c65204e5f43c8ca.jpeg
Butternut macaroni cheese,https://www.bbcgoodfood.com/recipes/butternut-macaroni-cheese,https://www.edamam.com/web-img/5fc/5fcf5b80004be69e61a1ecfe6fa493ea.jpg
Vegetarian Stew,https://food52.com/recipes/82743-vegetarian-stew,https://www.edamam.com/web-img/c80/c806a0450acffa486e37a767d0ebd969.jpg
Vegetarian Ribollita,https://www.foodnetwork.com/recipes/food-network-kitchen/vegetarian-ribollita-recipe-2009009,https://www.edamam.com/web-img/f30/f3093c3dac918ab3213a4caa2045f21b.jpeg
Vegetarian Taquitos,http://www.myrecipes.com/recipe/vegetarian-taquitos,https://www.edamam.com/web-img/df1/df1f680701f0fb66de66d838c8e02be8.jpg
Vegetarian Chili,https://www.delish.com/cooking/recipe-ideas/recipes/a58719/easy-vegetarian-chili-recipe/,https://www.edamam.com/web-img/cd9/cd913a827957621b3ccd0f13700bb4af.jpg
